id,name,restaurant_id,created_at,updated_at
1,"Холодные закуски",1,"2017-12-07 00:22:09.659793","2017-12-07 00:22:09.659793"
2,"Горячие закуски",1,"2017-12-07 00:22:09.673825","2017-12-07 00:22:09.673825"
3,"Салаты",1,"2017-12-07 00:22:09.682170","2017-12-07 00:22:09.682170"
4,"Супы",1,"2017-12-07 00:22:09.698317","2017-12-07 00:22:09.698317"
5,"Картофельные блюда",1,"2017-12-07 00:22:09.708054","2017-12-07 00:22:09.708054"
6,"«Колдуны» и вареники",1,"2017-12-07 00:22:09.716899","2017-12-07 00:22:09.716899"
7,"Блюда из баранины и говядины",1,"2017-12-07 00:22:09.727496","2017-12-07 00:22:09.727496"
8,"Блюда из свинины",1,"2017-12-07 00:22:09.736515","2017-12-07 00:22:09.736515"
9,"Курица",1,"2017-12-07 00:22:09.746199","2017-12-07 00:22:09.746199"
10,"Рыбные блюда",1,"2017-12-07 00:22:09.753698","2017-12-07 00:22:09.753698"
11,"Гарниры",1,"2017-12-07 00:22:09.761229","2017-12-07 00:22:09.761229"
12,"Соусы",1,"2017-12-07 00:22:09.772113","2017-12-07 00:22:09.772113"
13,"Десерты",1,"2017-12-07 00:22:09.792699","2017-12-07 00:22:09.792699"
14,"Напитки",1,"2017-12-07 00:22:09.806443","2017-12-07 00:22:09.806443"
15,"Фреши",1,"2017-12-07 00:22:09.812200","2017-12-07 00:22:09.812200"
16,"Хлеь",1,"2017-12-07 00:22:09.827453","2017-12-07 00:22:09.827453"
17,"Напитки",1,"2017-12-07 00:22:09.834847","2017-12-07 00:22:09.834847"
18,"Кофе",1,"2017-12-07 00:22:09.852267","2017-12-07 00:22:09.852267"
19,"Чай",1,"2017-12-07 00:22:09.865827","2017-12-07 00:22:09.865827"
20,"Шоколад",1,"2017-12-07 00:22:09.886220","2017-12-07 00:22:09.886220"
21,"Молочные коктейли",1,"2017-12-07 00:22:09.893346","2017-12-07 00:22:09.893346"
22,"Лимонады",1,"2017-12-07 00:22:09.902613","2017-12-07 00:22:09.902613"
23,"Закуски",2,"2017-12-07 00:22:09.913274","2017-12-07 00:22:09.913274"
24,"Салаты",2,"2017-12-07 00:22:09.926711","2017-12-07 00:22:09.926711"
25,"Супы",2,"2017-12-07 00:22:09.931788","2017-12-07 00:22:09.931788"
26,"Горячие блюда",2,"2017-12-07 00:22:09.949118","2017-12-07 00:22:09.949118"
27,"Паста и ризотто",2,"2017-12-07 00:22:09.965850","2017-12-07 00:22:09.965850"
28,"Десерты",2,"2017-12-07 00:22:09.982911","2017-12-07 00:22:09.982911"
29,"Сыры",2,"2017-12-07 00:22:09.996735","2017-12-07 00:22:09.996735"
30,"Антипасти",3,"2017-12-07 00:22:10.039604","2017-12-07 00:22:10.039604"
31,"Салаты",3,"2017-12-07 00:22:10.054413","2017-12-07 00:22:10.054413"
32,"Супы",3,"2017-12-07 00:22:10.063183","2017-12-07 00:22:10.063183"
33,"Паста",3,"2017-12-07 00:22:10.069316","2017-12-07 00:22:10.069316"
34,"Равиоли",3,"2017-12-07 00:22:10.085635","2017-12-07 00:22:10.085635"
35,"Ризотто",3,"2017-12-07 00:22:10.088645","2017-12-07 00:22:10.088645"
36,"Гриль",3,"2017-12-07 00:22:10.095142","2017-12-07 00:22:10.095142"
37,"Гарниры",3,"2017-12-07 00:22:10.109976","2017-12-07 00:22:10.109976"
38,"Пицца",3,"2017-12-07 00:22:10.118847","2017-12-07 00:22:10.118847"
39,"Хлеб",3,"2017-12-07 00:22:10.133237","2017-12-07 00:22:10.133237"
40,"Десерты",3,"2017-12-07 00:22:10.144353","2017-12-07 00:22:10.144353"
41,"Мороженое",3,"2017-12-07 00:22:10.153359","2017-12-07 00:22:10.153359"
42,"Летнее меню",4,"2017-12-07 00:22:10.165461","2017-12-07 00:22:10.165461"
43,"Холодные закуски",4,"2017-12-07 00:22:10.179356","2017-12-07 00:22:10.179356"
44,"Горячие закуски",4,"2017-12-07 00:22:10.193158","2017-12-07 00:22:10.193158"
45,"Салаты",4,"2017-12-07 00:22:10.200574","2017-12-07 00:22:10.200574"
46,"Блюда из рыбы",4,"2017-12-07 00:22:10.210478","2017-12-07 00:22:10.210478"
47,"Блюда из мяса",4,"2017-12-07 00:22:10.219169","2017-12-07 00:22:10.219169"
48,"Десерты",4,"2017-12-07 00:22:10.229499","2017-12-07 00:22:10.229499"
49,"Весовые десерты",4,"2017-12-07 00:22:10.270562","2017-12-07 00:22:10.270562"
50,"Горячие блюда",5,"2017-12-07 00:22:10.300321","2017-12-07 00:22:10.300321"
51,"Драники",5,"2017-12-07 00:22:10.322975","2017-12-07 00:22:10.322975"
52,"Блинчики",5,"2017-12-07 00:22:10.333051","2017-12-07 00:22:10.333051"
53,"Гарниры",5,"2017-12-07 00:22:10.346388","2017-12-07 00:22:10.346388"
54,"Соусы",5,"2017-12-07 00:22:10.365307","2017-12-07 00:22:10.365307"
55,"Салаты",5,"2017-12-07 00:22:10.386773","2017-12-07 00:22:10.386773"
56,"Супы",5,"2017-12-07 00:22:10.398950","2017-12-07 00:22:10.398950"
57,"Закуски",5,"2017-12-07 00:22:10.408043","2017-12-07 00:22:10.408043"
58,"Десерты",5,"2017-12-07 00:22:10.432930","2017-12-07 00:22:10.432930"
59,"Хлеб",5,"2017-12-07 00:22:10.441957","2017-12-07 00:22:10.441957"
60,"Закуски",6,"2017-12-07 00:22:10.454476","2017-12-07 00:22:10.454476"
61,"Горячие закуски",6,"2017-12-07 00:22:10.477513","2017-12-07 00:22:10.477513"
62,"Салаты",6,"2017-12-07 00:22:10.490082","2017-12-07 00:22:10.490082"
63,"Супы",6,"2017-12-07 00:22:10.498975","2017-12-07 00:22:10.498975"
64,"Горячие блюда",6,"2017-12-07 00:22:10.506812","2017-12-07 00:22:10.506812"
65,"Бургеры",6,"2017-12-07 00:22:10.541534","2017-12-07 00:22:10.541534"
66,"Десерты",6,"2017-12-07 00:22:10.548906","2017-12-07 00:22:10.548906"
67,"Горячие напитки",6,"2017-12-07 00:22:10.555262","2017-12-07 00:22:10.555262"
68,"Напитки",6,"2017-12-07 00:22:10.564172","2017-12-07 00:22:10.564172"
69,"Холодные закуски",7,"2017-12-07 00:22:10.585441","2017-12-07 00:22:10.585441"
70,"Горячие закуски",7,"2017-12-07 00:22:10.594108","2017-12-07 00:22:10.594108"
71,"Салаты",7,"2017-12-07 00:22:10.599933","2017-12-07 00:22:10.599933"
72,"Супы",7,"2017-12-07 00:22:10.608342","2017-12-07 00:22:10.608342"
73,"Горячие блюда",7,"2017-12-07 00:22:10.613308","2017-12-07 00:22:10.613308"
74,"Тапас",7,"2017-12-07 00:22:10.622702","2017-12-07 00:22:10.622702"
75,"Сыры",7,"2017-12-07 00:22:10.634507","2017-12-07 00:22:10.634507"
76,"Сыровяленые колбасы",7,"2017-12-07 00:22:10.642929","2017-12-07 00:22:10.642929"
77,"Сеты",7,"2017-12-07 00:22:10.649903","2017-12-07 00:22:10.649903"
78,"Горячие напитки",7,"2017-12-07 00:22:10.660377","2017-12-07 00:22:10.660377"
79,"Напитки",7,"2017-12-07 00:22:10.667383","2017-12-07 00:22:10.667383"
80,"Закуски",8,"2017-12-07 00:22:10.682912","2017-12-07 00:22:10.682912"
81,"Салаты",8,"2017-12-07 00:22:10.693621","2017-12-07 00:22:10.693621"
82,"Супы",8,"2017-12-07 00:22:10.699317","2017-12-07 00:22:10.699317"
83,WOK,8,"2017-12-07 00:22:10.703154","2017-12-07 00:22:10.703154"
84,"Горячие блюда",8,"2017-12-07 00:22:10.712309","2017-12-07 00:22:10.712309"
85,"Карри",8,"2017-12-07 00:22:10.726505","2017-12-07 00:22:10.726505"
86,"Десерты",8,"2017-12-07 00:22:10.737731","2017-12-07 00:22:10.737731"
87,"Напитки",8,"2017-12-07 00:22:10.743309","2017-12-07 00:22:10.743309"
88,"Закуски",9,"2017-12-07 00:22:10.764064","2017-12-07 00:22:10.764064"
89,"Салаты",9,"2017-12-07 00:22:10.777308","2017-12-07 00:22:10.777308"
90,"Супы",9,"2017-12-07 00:22:10.787818","2017-12-07 00:22:10.787818"
91,"Горячие блюда",9,"2017-12-07 00:22:10.793535","2017-12-07 00:22:10.793535"
92,"Гарниры",9,"2017-12-07 00:22:10.805002","2017-12-07 00:22:10.805002"
93,"Бургеры",9,"2017-12-07 00:22:10.811544","2017-12-07 00:22:10.811544"
94,"Сэндвичи",9,"2017-12-07 00:22:10.821905","2017-12-07 00:22:10.821905"
95,"Десерты",9,"2017-12-07 00:22:10.828611","2017-12-07 00:22:10.828611"
96,"Фрукты",9,"2017-12-07 00:22:10.845270","2017-12-07 00:22:10.845270"
97,"Хлеб",9,"2017-12-07 00:22:10.859771","2017-12-07 00:22:10.859771"
98,"Фреши",9,"2017-12-07 00:22:10.863323","2017-12-07 00:22:10.863323"
99,"Пиццы",10,"2017-12-07 00:22:10.875597","2017-12-07 00:22:10.875597"
100,"Шаурма",10,"2017-12-07 00:22:10.902856","2017-12-07 00:22:10.902856"
101,"Соусы",10,"2017-12-07 00:22:10.915661","2017-12-07 00:22:10.915661"
102,"Напитки",10,"2017-12-07 00:22:10.924929","2017-12-07 00:22:10.924929"
103,"Эксклюзивное предложение",11,"2017-12-07 00:22:10.936139","2017-12-07 00:22:10.936139"
